Record ID,File Name,Assignment ID,Year,Person,Keywords,Creators,Date
207906701,PRE-EditoriaExcellence2018-127.jpg,CPR6931p,2018-04-09,"Kim St. Clair Bodden,Megan Twohey","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906702,PRE-EditoriaExcellence2018-114.jpg,CPR6931p,2018-04-09,Unidentified,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906703,PRE-EditoriaExcellence2018-129.jpg,CPR6931p,2018-04-09,"Kim St. Clair Bodden,Megan Twohey","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906704,PRE-EditoriaExcellence2018-234.jpg,CPR6931p,2018-04-09,Jay Fielden,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906705,PRE-EditoriaExcellence2018-170.jpg,CPR6931p,2018-04-09,Ryan D'Agostino,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906706,PRE-EditoriaExcellence2018-189.jpg,CPR6931p,2018-04-09,Kristin Koch,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906707,PRE-EditoriaExcellence2018-111.jpg,CPR6931p,2018-04-09,Unidentified,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906708,PRE-EditoriaExcellence2018-048.jpg,CPR6931p,2018-04-09,"Alix Campbell,Sergio Kletnoy","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906709,PRE-EditoriaExcellence2018-057.jpg,CPR6931p,2018-04-09,"Raul Aguila,Larisa Kline","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906710,PRE-EditoriaExcellence2018-112.jpg,CPR6931p,2018-04-09,Unidentified,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906711,PRE-EditoriaExcellence2018-120.jpg,CPR6931p,2018-04-09,"Megan Twohey,Michael Sebastian","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906712,PRE-EditoriaExcellence2018-235.jpg,CPR6931p,2018-04-09,Jay Fielden,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906713,PRE-EditoriaExcellence2018-058.jpg,CPR6931p,2018-04-09,Unidentified,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906714,PRE-EditoriaExcellence2018-202.jpg,CPR6931p,2018-04-09,"Jayne Jamison,Ellen Payne","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906715,PRE-EditoriaExcellence2018-038.jpg,CPR6931p,2018-04-09,"Sara Peterson,Sophie Donelson","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906716,PRE-EditoriaExcellence2018-037.jpg,CPR6931p,2018-04-09,"Sara Peterson,Sophie Donelson","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906717,PRE-EditoriaExcellence2018-098.jpg,CPR6931p,2018-04-09,Jodi Kantor,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906718,PRE-EditoriaExcellence2018-178.jpg,CPR6931p,2018-04-09,Lucy Kaylin,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906719,PRE-EditoriaExcellence2018-042.jpg,CPR6931p,2018-04-09,"Unidentified,Deirdre Koribanick","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906720,PRE-EditoriaExcellence2018-039.jpg,CPR6931p,2018-04-09,"Sara Peterson,Sophie Donelson","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906721,PRE-EditoriaExcellence2018-056.jpg,CPR6931p,2018-04-09,"Raul Aguila,Larisa Kline","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906722,PRE-EditoriaExcellence2018-043.jpg,CPR6931p,2018-04-09,"Unidentified,Duane Bruton","People @ Work, People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906723,PRE-EditoriaExcellence2018-099.jpg,CPR6931p,2018-04-09,Jodi Kantor,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207907729,HPR-EditorialExcellence2017-085.jpg,CPR6931p,2017-04-06,Dan Bucatinsky,"People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907730,HPR-EditorialExcellence2017-031.jpg,CPR6931p,2017-04-06,"Jennifer Levene Bruno,Dan Fuchs,Vicki Wellington,Jill Seelig","People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907731,HPR-EditorialExcellence2017-149.jpg,CPR6931p,2017-04-06,"Arianna Huffington,Joey Bartomoleo","People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907732,HPR-EditorialExcellence2017-047.jpg,CPR6931p,2017-04-06,"Unidentified,Michael Wilson","People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
207907733,HPR-EditorialExcellence2017-025.jpg,CPR6931p,2017-04-06,"Stephanie Dolgoff,Lisa Bain,Michelle Promaulayko","People @ Work,Editorial Excellence,2017,Hearst Magazines,Events,Hearst magazines,Magazines,Editorial Excellence 2017,44th Floor,magazines",,
